Fri Apr  9 17:43:06 2021    output.dat

         18268543 function calls (18136215 primitive calls) in 131.616 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2633585    0.420    0.000    0.420    0.000 {built-in method builtins.isinstance}
  1374315    0.208    0.000    0.208    0.000 {built-in method builtins.len}
  1017633    0.317    0.000    0.317    0.000 {built-in method builtins.min}
   879200    0.369    0.000    0.369    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\console.py:913(_pythonic_index)
   874708    0.177    0.000    0.177    0.000 {method 'encode' of 'str' objects}
   874586    0.784    0.000    0.784    0.000 {built-in method tcod._libtcod.TCOD_console_printn}
   874586    1.997    0.000    3.437    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\console.py:926(print)
   851510    0.217    0.000    0.217    0.000 {built-in method builtins.max}
   519135    0.181    0.000    0.181    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\entity.py:868(is_active)
   468419    1.647    0.000    1.955    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:88(<genexpr>)
   468419    2.487    0.000    4.441    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:85(semiactors)
   437243    0.061    0.000    0.061    0.000 {method 'getrandbits' of '_random.Random' objects}
   397692    0.642    0.000    0.746    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\types.py:171(__get__)
   397692    0.104    0.000    0.104    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\enum.py:659(value)
   365101    0.125    0.000    0.125    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\entity.py:333(is_dead)
   364950    0.620    0.000    1.321    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:195(<lambda>)
   344994    1.326    0.000    1.695    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:75(<genexpr>)
   344994    1.692    0.000    3.383    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:72(actors)
   295891    0.239    0.000    0.341    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\random.py:250(_randbelow_with_getrandbits)
   295891    0.040    0.000    0.040    0.000 {method 'bit_length' of 'int' objects}
   292941    0.472    0.000    0.810    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\random.py:200(randrange)
   292941    0.300    0.000    1.110    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\random.py:244(randint)
   239702    0.036    0.000    0.036    0.000 {method 'get' of 'dict' objects}
   238752    0.099    0.000    0.222    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\status.py:19(clamp)
   215449    0.032    0.000    0.032    0.000 {method 'append' of 'list' objects}
