Fri Apr  9 17:43:06 2021    output.dat

         18268543 function calls (18136215 primitive calls) in 131.616 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      673  100.081    0.149  100.081    0.149 {built-in method tcod._libtcod.SDL_WaitEvent}
   468419    2.487    0.000    4.441    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:85(semiactors)
   874586    1.997    0.000    3.437    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\console.py:926(print)
   344994    1.692    0.000    3.383    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:72(actors)
   468419    1.647    0.000    1.955    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:88(<genexpr>)
      312    1.646    0.005    5.229    0.017 c:\Users\user\Desktop\Geophyte_prealpha\src\engine.py:122(time_pass)
   344994    1.326    0.000    1.695    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:75(<genexpr>)
      193    1.242    0.006    1.242    0.006 {built-in method tcod._libtcod.SDL_WaitEventTimeout}
     5620    0.963    0.000    3.768    0.001 c:\Users\user\Desktop\Geophyte_prealpha\src\util.py:102(draw_thick_frame)
        2    0.952    0.476    0.952    0.476 {built-in method time.sleep}
        1    0.806    0.806    0.806    0.806 {built-in method tcod._libtcod.TCOD_context_new}
   874586    0.784    0.000    0.784    0.000 {built-in method tcod._libtcod.TCOD_console_printn}
   397692    0.642    0.000    0.746    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\types.py:171(__get__)
   364950    0.620    0.000    1.321    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:195(<lambda>)
      159    0.583    0.004    0.723    0.005 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:181(get_path_to)
    81006    0.568    0.000    0.568    0.000 {built-in method numpy.array}
     1128    0.548    0.000    1.870    0.002 {built-in method builtins.sorted}
      610    0.542    0.001    1.757    0.003 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:158(get_semiactor_with_bumpaction_at_location)
     1715    0.537    0.000    1.894    0.001 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:119(get_actor_at_location)
   292941    0.472    0.000    0.810    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\random.py:200(randrange)
     1160    0.446    0.000    0.446    0.000 {built-in method tcod._libtcod.TCOD_context_present}
  2633585    0.420    0.000    0.420    0.000 {built-in method builtins.isinstance}
       14    0.408    0.029    1.661    0.119 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:18(descend_background)
      565    0.406    0.001    1.315    0.002 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:151(get_semiactor_at_location)
     1124    0.378    0.000    0.461    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\camera.py:115(render_entities)
   879200    0.369    0.000    0.369    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\console.py:913(_pythonic_index)
    26528    0.361    0.000    0.669    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\status.py:168(changed_status)
    60423    0.320    0.000    1.237    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\tile_types.py:50(new_tile_randomized)
  1017633    0.317    0.000    0.317    0.000 {built-in method builtins.min}
   292941    0.300    0.000    1.110    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\random.py:244(randint)
     1127    0.267    0.000    2.273    0.002 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:187(sort_entities)
118276/406    0.259    0.000    0.502    0.001 c:\users\user\appdata\local\programs\python\python38-32\lib\copy.py:128(deepcopy)
   295891    0.239    0.000    0.341    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\random.py:250(_randbelow_with_getrandbits)
   851510    0.217    0.000    0.217    0.000 {built-in method builtins.max}
  1374315    0.208    0.000    0.208    0.000 {built-in method builtins.len}
